DATATYPE ZTEM
1 1 2 3 1 		 0.0004373636 0.01002187 -0.008872681 0.01044363 0.0004373636 0.01002187 -0.008872681 0.01044363
1 4 5 6 1 		 -0.0002986771 0.01001493 -0.01113515 0.01055676 -0.0005075965 0.01002538 -0.01183815 0.01059191
1 7 8 9 1 		 -0.001539858 0.01007699 -0.01343389 0.01067169 -0.002161399 0.01010807 -0.01535573 0.01076779
1 10 11 12 1 		 -0.003257665 0.01016288 -0.01544987 0.01077249 -0.004706286 0.01023531 -0.01918602 0.0109593
1 13 14 15 1 		 -0.005230592 0.01026153 -0.01657082 0.01082854 -0.008484536 0.01042423 -0.02294289 0.01114714
1 16 17 18 1 		 -0.0067635 0.01033818 -0.01612818 0.01080641 -0.01358896 0.01067945 -0.02608432 0.01130422
1 19 20 21 1 		 -0.006516523 0.01032583 -0.0132649 0.01066325 -0.01976895 0.01098845 -0.0278379 0.0113919
1 22 23 24 1 		 -0.003597893 0.01017989 -0.008061718 0.01040309 -0.02538093 0.01126905 -0.02778266 0.01138913
1 25 26 27 1 		 0.001592762 0.01007964 -0.001284316 0.01006422 -0.02742338 0.01137117 -0.0257727 0.01128864
1 28 29 30 1 		 0.006747366 0.01033737 0.005389168 0.01026946 -0.02472033 0.01123602 -0.02246372 0.01112319
1 31 32 33 1 		 0.009526327 0.01047632 0.010381 0.01051905 -0.0187415 0.01093708 -0.01847742 0.01092387
1 34 35 36 1 		 0.009510246 0.01047551 0.01308374 0.01065419 -0.01259954 0.01062998 -0.01449305 0.01072465
1 37 38 39 1 		 0.007596182 0.01037981 0.0134701 0.01067351 -0.007891668 0.01039458 -0.01097805 0.0105489
1 40 41 42 1 		 -0.0005075965 0.01002538 -0.01183815 0.01059191 -0.0002986771 0.01001493 -0.01113515 0.01055676
1 43 44 45 1 		 -0.001907308 0.01009537 -0.01516084 0.01075804 -0.001907308 0.01009537 -0.01516084 0.01075804
1 46 47 48 1 		 -0.004210928 0.01021055 -0.01877627 0.01093881 -0.00461784 0.01023089 -0.02006748 0.01100337
1 49 50 51 1 		 -0.007524091 0.0103762 -0.022273 0.01111365 -0.008708235 0.01043541 -0.02553587 0.01127679
1 52 53 54 1 		 -0.01176409 0.0105882 -0.02476784 0.01123839 -0.01482817 0.01074141 -0.03098645 0.01154932
1 55 56 57 1 		 -0.01579975 0.01078999 -0.02500759 0.01125038 -0.02355746 0.01117787 -0.03548585 0.01177429
1 58 59 60 1 		 -0.0164743 0.01082372 -0.02117365 0.01105868 -0.03548026 0.01177401 -0.0375694 0.01187847
1 61 62 63 1 		 -0.01042082 0.01052104 -0.01303533 0.01065177 -0.04787776 0.01239389 -0.03641455 0.01182073
1 64 65 66 1 		 0.001909209 0.01009546 -0.001955692 0.01009778 -0.05258543 0.01262927 -0.03241726 0.01162086
1 67 68 69 1 		 0.01418477 0.01070924 0.008817058 0.01044085 -0.04539261 0.01226963 -0.02726329 0.01136316
1 70 71 72 1 		 0.0200265 0.01100132 0.01640351 0.01082018 -0.03143373 0.01157169 -0.0218604 0.01109302
1 73 74 75 1 		 0.01893704 0.01094685 0.01995696 0.01099785 -0.01920215 0.01096011 -0.01669947 0.01083497
1 76 77 78 1 		 0.01428099 0.01071405 0.01978362 0.01098918 -0.01121717 0.01056086 -0.01231256 0.01061563
1 79 80 81 1 		 -0.002161399 0.01010807 -0.01535573 0.01076779 -0.001539858 0.01007699 -0.01343389 0.01067169
1 82 83 84 1 		 -0.00461784 0.01023089 -0.02006748 0.01100337 -0.004210928 0.01021055 -0.01877627 0.01093881
1 85 86 87 1 		 -0.008605555 0.01043028 -0.02553839 0.01127692 -0.008605555 0.01043028 -0.02553839 0.01127692
1 88 89 90 1 		 -0.01459899 0.01072995 -0.0313342 0.01156671 -0.0150465 0.01075233 -0.03331824 0.01166591
1 91 92 93 1 		 -0.02332641 0.01116632 -0.03634416 0.01181721 -0.02438443 0.01121922 -0.04124937 0.01206247
1 94 95 96 1 		 -0.03386911 0.01169346 -0.03835752 0.01191788 -0.0379236 0.01189618 -0.04767089 0.01238354
1 97 98 99 1 		 -0.03987891 0.01199395 -0.03347451 0.01167373 -0.05910346 0.01295517 -0.04942006 0.012471
1 100 101 102 1 		 -0.02796149 0.01139807 -0.02074261 0.01103713 -0.0865393 0.01432697 -0.044005 0.01220025
