N_TRX 4
!IGNORE -0

DATATYPE MTZ
FREQUENCY 1.000000E+002   ! frequenc
N_RECV 900            	 ! # of receivers
2.500000E+002  2.500000E+002  0.000000E+000
2.500000E+002  7.500000E+002  0.000000E+000
2.500000E+002  1.250000E+003  0.000000E+000
2.500000E+002  1.750000E+003  0.000000E+000
2.500000E+002  2.250000E+003  0.000000E+000
2.500000E+002  2.750000E+003  0.000000E+000
2.500000E+002  3.250000E+003  0.000000E+000
2.500000E+002  3.750000E+003  0.000000E+000
2.500000E+002  4.250000E+003  0.000000E+000
2.500000E+002  4.750000E+003  0.000000E+000
2.500000E+002  5.250000E+003  0.000000E+000
2.500000E+002  5.750000E+003  0.000000E+000
2.500000E+002  6.250000E+003  0.000000E+000
2.500000E+002  6.750000E+003  0.000000E+000
2.500000E+002  7.250000E+003  0.000000E+000
2.500000E+002  7.750000E+003  0.000000E+000
2.500000E+002  8.250000E+003  0.000000E+000
2.500000E+002  8.750000E+003  0.000000E+000
2.500000E+002  9.250000E+003  0.000000E+000
2.500000E+002  9.750000E+003  0.000000E+000
2.500000E+002  1.025000E+004  0.000000E+000
2.500000E+002  1.075000E+004  0.000000E+000
2.500000E+002  1.125000E+004  0.000000E+000
2.500000E+002  1.175000E+004  0.000000E+000
2.500000E+002  1.225000E+004  0.000000E+000
2.500000E+002  1.275000E+004  0.000000E+000
2.500000E+002  1.325000E+004  0.000000E+000
2.500000E+002  1.375000E+004  0.000000E+000
2.500000E+002  1.425000E+004  0.000000E+000
2.500000E+002  1.475000E+004  0.000000E+000
7.500000E+002  2.500000E+002  0.000000E+000
7.500000E+002  7.500000E+002  0.000000E+000
7.500000E+002  1.250000E+003  0.000000E+000
7.500000E+002  1.750000E+003  0.000000E+000
7.500000E+002  2.250000E+003  0.000000E+000
7.500000E+002  2.750000E+003  0.000000E+000
7.500000E+002  3.250000E+003  0.000000E+000
7.500000E+002  3.750000E+003  0.000000E+000
7.500000E+002  4.250000E+003  0.000000E+000
7.500000E+002  4.750000E+003  0.000000E+000
7.500000E+002  5.250000E+003  0.000000E+000
7.500000E+002  5.750000E+003  0.000000E+000
7.500000E+002  6.250000E+003  0.000000E+000
7.500000E+002  6.750000E+003  0.000000E+000
7.500000E+002  7.250000E+003  0.000000E+000
7.500000E+002  7.750000E+003  0.000000E+000
7.500000E+002  8.250000E+003  0.000000E+000
7.500000E+002  8.750000E+003  0.000000E+000
7.500000E+002  9.250000E+003  0.000000E+000
7.500000E+002  9.750000E+003  0.000000E+000
7.500000E+002  1.025000E+004  0.000000E+000
7.500000E+002  1.075000E+004  0.000000E+000
7.500000E+002  1.125000E+004  0.000000E+000
7.500000E+002  1.175000E+004  0.000000E+000
7.500000E+002  1.225000E+004  0.000000E+000
7.500000E+002  1.275000E+004  0.000000E+000
7.500000E+002  1.325000E+004  0.000000E+000
7.500000E+002  1.375000E+004  0.000000E+000
7.500000E+002  1.425000E+004  0.000000E+000
7.500000E+002  1.475000E+004  0.000000E+000
1.250000E+003  2.500000E+002  0.000000E+000
1.250000E+003  7.500000E+002  0.000000E+000
1.250000E+003  1.250000E+003  0.000000E+000
1.250000E+003  1.750000E+003  0.000000E+000
1.250000E+003  2.250000E+003  0.000000E+000
1.250000E+003  2.750000E+003  0.000000E+000
1.250000E+003  3.250000E+003  0.000000E+000
1.250000E+003  3.750000E+003  0.000000E+000
1.250000E+003  4.250000E+003  0.000000E+000
1.250000E+003  4.750000E+003  0.000000E+000
1.250000E+003  5.250000E+003  0.000000E+000
1.250000E+003  5.750000E+003  0.000000E+000
1.250000E+003  6.250000E+003  0.000000E+000
1.250000E+003  6.750000E+003  0.000000E+000
1.250000E+003  7.250000E+003  0.000000E+000
1.250000E+003  7.750000E+003  0.000000E+000
1.250000E+003  8.250000E+003  0.000000E+000
1.250000E+003  8.750000E+003  0.000000E+000
1.250000E+003  9.250000E+003  0.000000E+000
1.250000E+003  9.750000E+003  0.000000E+000
1.250000E+003  1.025000E+004  0.000000E+000
1.250000E+003  1.075000E+004  0.000000E+000
1.250000E+003  1.125000E+004  0.000000E+000
1.250000E+003  1.175000E+004  0.000000E+000
1.250000E+003  1.225000E+004  0.000000E+000
1.250000E+003  1.275000E+004  0.000000E+000
1.250000E+003  1.325000E+004  0.000000E+000
1.250000E+003  1.375000E+004  0.000000E+000
