    128    128    512   42   42   42   42  265   54  ! # of cells in underlying mesh, padding for only core region
 -2.45000000E+04 -2.45000000E+04  1.44000000E+04  ! top corner
  5.00000000E+02  5.00000000E+02  1.00000000E+02  ! cell size
   95050  ! size of octree mesh
    1    1    1   32
   33    1    1   32
   65    1    1   32
   97    1    1   32
    1   33    1   32
   33   33    1   32
   65   33    1   32
   97   33    1   32
    1   65    1   32
   33   65    1   32
   65   65    1   32
   97   65    1   32
    1   97    1   32
   33   97    1   32
   65   97    1   32
   97   97    1   32
    1    1   33   16
   17    1   33   16
   33    1   33   16
   49    1   33   16
   65    1   33   16
   81    1   33   16
   97    1   33   16
  113    1   33   16
    1   17   33   16
   17   17   33   16
   33   17   33   16
   49   17   33   16
   65   17   33   16
   81   17   33   16
   97   17   33   16
  113   17   33   16
    1   33   33   16
   17   33   33   16
   33   33   33   16
   49   33   33   16
   65   33   33   16
   81   33   33   16
   97   33   33   16
  113   33   33   16
    1   49   33   16
   17   49   33   16
   33   49   33   16
   49   49   33   16
   65   49   33   16
   81   49   33   16
   97   49   33   16
  113   49   33   16
    1   65   33   16
   17   65   33   16
   33   65   33   16
   49   65   33   16
   65   65   33   16
   81   65   33   16
   97   65   33   16
  113   65   33   16
    1   81   33   16
   17   81   33   16
   33   81   33   16
   49   81   33   16
   65   81   33   16
   81   81   33   16
   97   81   33   16
  113   81   33   16
    1   97   33   16
   17   97   33   16
   33   97   33   16
   49   97   33   16
   65   97   33   16
   81   97   33   16
   97   97   33   16
  113   97   33   16
    1  113   33   16
   17  113   33   16
   33  113   33   16
   49  113   33   16
   65  113   33   16
   81  113   33   16
   97  113   33   16
  113  113   33   16
    1    1   49   16
   17    1   49   16
   33    1   49   16
   49    1   49   16
   65    1   49   16
   81    1   49   16
   97    1   49   16
  113    1   49   16
    1   17   49   16
   17   17   49   16
   33   17   49   16
   49   17   49   16
   65   17   49   16
   81   17   49   16
   97   17   49   16
  113   17   49   16
    1   33   49   16
   17   33   49   16
   33   33   49   16
   49   33   49   16
   65   33   49   16
   81   33   49   16
   97   33   49   16
  113   33   49   16
    1   49   49   16
   17   49   49   16
   33   49   49   16
   49   49   49   16
   65   49   49   16
   81   49   49   16
   97   49   49   16
  113   49   49   16
    1   65   49   16
   17   65   49   16
   33   65   49   16
   49   65   49   16
   65   65   49   16
   81   65   49   16
   97   65   49   16
  113   65   49   16
    1   81   49   16
   17   81   49   16
   33   81   49   16
   49   81   49   16
   65   81   49   16
   81   81   49   16
   97   81   49   16
  113   81   49   16
    1   97   49   16
   17   97   49   16
   33   97   49   16
   49   97   49   16
   65   97   49   16
   81   97   49   16
   97   97   49   16
  113   97   49   16
    1  113   49   16
   17  113   49   16
   33  113   49   16
   49  113   49   16
   65  113   49   16
   81  113   49   16
   97  113   49   16
  113  113   49   16
    1    1   65   16
   17    1   65   16
   33    1   65   16
   49    1   65   16
   65    1   65   16
   81    1   65   16
   97    1   65   16
  113    1   65   16
    1   17   65   16
   17   17   65   16
   33   17   65   16
   49   17   65   16
   65   17   65   16
   81   17   65   16
   97   17   65   16
  113   17   65   16
    1   33   65   16
   17   33   65   16
   33   33   65   16
   49   33   65   16
   65   33   65   16
   81   33   65   16
   97   33   65   16
  113   33   65   16
    1   49   65   16
   17   49   65   16
   33   49   65   16
   49   49   65   16
   65   49   65   16
   81   49   65   16
   97   49   65   16
  113   49   65   16
    1   65   65   16
   17   65   65   16
   33   65   65   16
   49   65   65   16
   65   65   65   16
   81   65   65   16
   97   65   65   16
  113   65   65   16
    1   81   65   16
   17   81   65   16
